Lines,DTS,DTA,PH,EH,EN,BW,BL,SL,SPAD1,SPAD1_Date,SPAD2,SPAD2_Date,ST,StPu,StPi,Kinki,Prolif,NBR
B73,7/3/23,6/30/23,150,50,1,7.1,48.8,12.5,,,,,N,N,N,,,1
B73,7/6/23,7/2/23,150,49,2,8,57.3,12,,,,,N,N,N,,,1
B73,6/30/23,6/27/23,178,61,1,7.6,58,13,,,,,N,N,N,,,1
B73,7/1/23,6/28/23,174,60,2,7.7,54.6,13.3,,,,,N,N,N,,,1
B73,7/6/23,7/3/23,173,59,2,7.5,63.6,12.8,52.1,7/18/23,,,N,N,N,,,1
B73,7/3/23,7/2/23,184,67,2,8.4,65.9,14,57.6,7/18/23,45.7,8/5/23,N,N,N,,,1
B73,7/2/23,6/30/23,173,51,1,8,56.2,14,40.3,7/18/23,9,8/5/23,N,N,N,,,1
B73,7/3/23,6/30/23,155,50,1,6.8,49,14,44.4,7/18/23,24.8,8/5/23,N,N,N,,,1
B73,7/4/23,7/2/23,169,55,2,8.4,66.2,11.4,52.3,7/18/23,26,8/7/23,N,N,N,,,2
B73,7/5/23,7/2/23,176,55,1,8,52.3,13,47.9,7/18/23,,,N,N,N,,,1
B73,7/6/23,7/2/23,173,60,1,6.8,56.8,13.5,46.2,7/18/23,,,N,N,N,,,1
B73,7/7/23,7/6/23,163,41,2,7,55,11.5,44.6,7/18/23,,,N,N,N,,,1
B73,7/5/23,7/2/23,169,42,2,8.5,59.1,12.5,52.4,7/18/23,,,N,N,N,,,1
B73,7/3/23,7/2/23,162,43,2,7.8,54.6,12.4,51.1,7/18/23,39.9,8/5/23,N,N,N,,,1
B73,7/2/23,6/30/23,155,45,1,8,63,13,51.7,7/19/23,37.5,8/5/23,N,N,N,,,1
B73,7/7/23,7/5/23,169,55,2,7.5,52.1,12,55.9,7/19/23,,,N,N,N,,,2
B73,7/5/23,7/5/23,184,50,2,9.1,68.6,12,56.5,7/19/23,28.6,8/10/23,N,N,N,,,2
B73,7/3/23,7/2/23,187,72,2,7.9,59,13,68.9,7/15/23,52.7,8/5/23,N,N,N,,,2
B73,7/4/23,7/2/23,182,59,2,8.6,60.8,13.6,59,7/19/23,28.8,8/7/23,N,N,N,,,2
B73,7/6/23,7/2/23,165,57,2,6.8,47.4,12.5,53.4,7/19/23,,,N,N,N,,,0
B73,7/3/23,6/30/23,185,64,2,8.6,61.5,15.4,65.5,7/19/23,42.9,8/5/23,N,N,N,,,1
B73,7/2/23,6/30/23,174,54,2,8.4,62.4,13.4,60.7,7/19/23,55.7,8/5/23,N,N,N,,,1
B73,7/2/23,6/30/23,178,65,2,7.6,58,13.3,58.5,7/19/23,41.8,8/5/23,N,N,N,,,1
B73,7/2/23,6/30/23,185,65,1,7.9,57.9,13.5,59,7/19/23,41.8,8/5/23,N,N,N,,,1
B73,7/2/23,6/28/23,190,57,2,8.9,68.7,13.4,56.2,7/19/23,44.5,8/5/23,N,N,N,,,1
B73,7/2/23,6/30/23,181,54,2,7.2,62.9,13.1,52.7,7/19/23,40.3,8/5/23,N,N,N,,,1
B73,7/2/23,7/2/23,178,65,2,7.9,60,13.4,59.1,7/19/23,44.6,8/5/23,N,N,N,,,1
B73,7/2/23,7/1/23,183,63,2,8.1,61.7,14,56.6,7/19/23,32.1,8/5/23,N,N,N,,,1
B73,7/2/23,6/30/23,178,50,2,7.9,61.4,13.3,51.6,7/19/23,40.2,8/5/23,N,N,N,,,1
B73,7/2/23,6/30/23,175,55,2,7.2,57.6,13.1,56.1,7/19/23,45.3,8/5/23,N,N,N,,,1
B73,7/2/23,7/1/23,187,66,1,8.1,72.3,15,60.8,7/19/23,48.2,8/5/23,N,N,N,,,1
B73,7/1/23,7/1/23,167,50,2,7.2,54,13.1,55.5,7/16/23,45.2,8/3/23,N,N,N,0,1,1
B73,7/1/23,6/30/23,173,56,2,7.5,56.4,13.6,55.9,7/16/23,29,8/3/23,N,N,N,1,1,1
B73,6/28/23,6/28/23,190,50,2,9.7,67.7,12.9,58.3,7/16/23,51.1,8/2/23,N,N,N,0,1,2
B73,7/1/23,7/1/23,191,67,2,8.5,64,14,60.2,7/16/23,47.3,8/3/23,N,N,N,0,1,1
B73,7/1/23,6/29/23,197,73,2,8.6,68,13,64,7/16/23,60.4,8/3/23,N,N,N,0,1,1
B73,6/30/23,6/29/23,186,56,2,8.4,59.8,12.6,58.4,7/16/23,44.4,8/3/23,N,N,N,0,1,1
B73,6/30/23,6/27/23,175,60,2,8,65.8,15.6,55.9,7/16/23,32.8,8/3/23,N,N,N,0,1,1
B73,7/3/23,7/1/23,173,60,2,9.2,65.4,12.8,57.3,7/16/23,40.3,8/5/23,N,N,N,0,1,2
